title,platform,country,country_translated,city,city_translated,language,releases,releases_converted,date_start,date_end,issues,link,download_link
On-Line,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,"02 июля 1997, 11 июня 1997, 29 мая 1997, 16 мая 1997, 08 мая 1997, 30 апреля 1996, 23 апреля 1997, 15 апреля 1997, 03 апреля 1997, 23 марта 1997, 09 марта 1997, 23 февраля 1997, 16 февраля 1997, 09 февраля 1997, 02 февраля 1997, 26 января 1997, 19 января 1997, 12 января 1997, 29 декабря 1996, 22 декабря 1996, 15 декабря 1996, 08 декабря 1996, 24 ноября 1996, 03 декабря 1996, 03 ноября 1996, 27 октября 1996, 22 октября 1996, 13 октября 1996, 06 октября 1996, 29 сентября 1996, 22 сентября 1996, 15 сентября 1996, 08 сентября 1996, 01 сентября 1996, 25 августа 1996, 18 августа 1996, 11 августа 1996, 04 августа 1996, 28 июля 1996, 21 июля 1996, 14 июля 1996, 07 июля 1996, 30 июня 1996, 24 июня 1996, 16 июня 1996, 09 июня 1996, 01 июня 1996, 26 мая 1996, 20 мая 1996, 12 мая 1996, 05 мая 1996, 28 апреля 1996, 21 апреля 1996, 14 апреля 1996, 07 апреля 1996, 31 марта 1996, 24 марта 1996, 17 марта 1996, 10 марта 1996, 03 марта 1996, 25 февраля 1996, 18 февраля 1996, 12 февраля 1996, 04 февраля 1996, 28 января 1996, 21 января 1996, 14 января 1996, 07 января 1996, 31 декабря 1995, 24 декабря 1995, 17 декабря 1995, 10 декабря 1995, 03 декабря 1995, 26 ноября 1995, 19 ноября 1995, 12 ноября 1995, 05 ноября 1995, 29 октября 1995, 22 октября 1995, 15 октября 1995, 08 октября 1995, 01 октября 1995, 28 сентября 1995, 14 сентября 1995, 02 сентября 1995","02.09.1995, 14.09.1995, 28.09.1995, 01.10.1995, 08.10.1995, 15.10.1995, 22.10.1995, 29.10.1995, 05.11.1995, 12.11.1995, 19.11.1995, 26.11.1995, 03.12.1995, 10.12.1995, 17.12.1995, 24.12.1995, 31.12.1995, 07.01.1996, 14.01.1996, 21.01.1996, 28.01.1996, 04.02.1996, 12.02.1996, 18.02.1996, 25.02.1996, 03.03.1996, 10.03.1996, 17.03.1996, 24.03.1996, 31.03.1996, 07.04.1996, 14.04.1996, 21.04.1996, 28.04.1996, 30.04.1996, 05.05.1996, 12.05.1996, 20.05.1996, 26.05.1996, 01.06.1996, 09.06.1996, 16.06.1996, 24.06.1996, 30.06.1996, 07.07.1996, 14.07.1996, 21.07.1996, 28.07.1996, 04.08.1996, 11.08.1996, 18.08.1996, 25.08.1996, 01.09.1996, 08.09.1996, 15.09.1996, 22.09.1996, 29.09.1996, 06.10.1996, 13.10.1996, 22.10.1996, 27.10.1996, 03.11.1996, 24.11.1996, 03.12.1996, 08.12.1996, 15.12.1996, 22.12.1996, 29.12.1996, 12.01.1997, 19.01.1997, 26.01.1997, 02.02.1997, 09.02.1997, 16.02.1997, 23.02.1997, 09.03.1997, 23.03.1997, 03.04.1997, 15.04.1997, 23.04.1997, 08.05.1997, 16.05.1997, 29.05.1997, 11.06.1997, 02.07.1997",02.09.1995,02.07.1997,"On-Line #01, On-Line #02, On-Line #03, On-Line #04, On-Line #05, On-Line #06, On-Line #07, On-Line #08, On-Line #09, On-Line #10, On-Line #11, On-Line #12, On-Line #13, On-Line #14, On-Line #15, On-Line #16, On-Line #17, On-Line #18, On-Line #19, On-Line #20, On-Line #21, On-Line #22, On-Line #23, On-Line #24, On-Line #25, On-Line #26, On-Line #27, On-Line #28, On-Line #29, On-Line #30, On-Line #31, On-Line #32, On-Line #33, On-Line #34, On-Line #35, On-Line #36, On-Line #37, On-Line #38, On-Line #39, On-Line #40, On-Line #41, On-Line #42, On-Line #43, On-Line #44, On-Line #45, On-Line #46, On-Line #47, On-Line #48, On-Line #49, On-Line #50, On-Line #51, On-Line #52, On-Line #53, On-Line #54, On-Line #55, On-Line #56, On-Line #57, On-Line #58, On-Line #59, On-Line #60, On-Line #61, On-Line #62, On-Line #63, On-Line #64, On-Line #65, On-Line #66, On-Line #67, On-Line #68, On-Line #69, On-Line #70, On-Line #71, On-Line #72, On-Line #73, On-Line #74, On-Line #75, On-Line #76, On-Line #77, On-Line #78, On-Line #79, On-Line #80, On-Line #81, On-Line #82, On-Line #83, On-Line #84, On-Line #85",https://zxpress.ru/issue.php?id=147,https://zxpress.ru/d.php?id=147
Open Letters,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,"28 декабря 2002, 06 октября 2002, 30 сентября 2001, 11 марта 2001, 12 февраля 2001, 30 ноября 2000, 21 октября 2000, 05 мая 2000, 20 февраля 2000, 20 июня 1999","20.06.1999, 20.02.2000, 05.05.2000, 21.10.2000, 30.11.2000, 12.02.2001, 11.03.2001, 30.09.2001, 06.10.2002, 28.12.2002",20.06.1999,28.12.2002,"Open Letters #01, Open Letters #02, Open Letters #03, Open Letters #04, Open Letters #05, Open Letters #06, Open Letters #07, Open Letters #08, Open Letters #09, Open Letters #10",https://zxpress.ru/issue.php?id=299,https://zxpress.ru/d.php?id=299
Opex,ZX Spectrum,Россия,Russia,Питкяранта,Pitkyaranta,Russian,"23 июня 2002, 19 июня 2002, 16 июня 2002, 10 июня 2002, 03 мая 2002, 06 апреля 2002, 02 февраля 2002, 30 марта 2002, 26 марта 2002","02.02.2002, 26.03.2002, 30.03.2002, 06.04.2002, 03.05.2002, 10.06.2002, 16.06.2002, 19.06.2002, 23.06.2002",02.02.2002,23.06.2002,"Opex #00, Opex #01, Opex #02, Opex #03, Opex #04, Opex #05, Opex #06, Opex #07, Opex #08",https://zxpress.ru/issue.php?id=301,https://zxpress.ru/d.php?id=301
Opium,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,,,,,,https://zxpress.ru/issue.php?id=148,https://zxpress.ru/d.php?id=148
Optron,ZX Spectrum,Украина,Ukraine,Львов,Lviv,Russian,"10 апреля 2001, 12 января 2001, 19 ноября 2000, 03 октября 2000, 13 сентября 2000, 18 августа 2000, 09 августа 2000, 16 июня 2000, 25 апреля 2000, 30 декабря 1999, 20 ноября 1999, 22 октября 1999, 28 сентября 1999, 03 сентября 1999, 20 июля 1999, 08 июня 1999, 08 мая 1999, 31 марта 1999, 19 апреля 1999, 22 февраля 1999, 19 января 1999, 29 декабря 1998, 27 ноября 1998, 25 октября 1998, 02 октября 1998, 18 сентября 1998, 04 сентября 1998, 14 августа 1998, 24 июля 1998, 03 июля 1998, 12 июня 1998, 22 мая 1998, 24 апреля 1998, 03 апреля 1998, 13 марта 1998, 27 февраля 1998, 13 февраля 1998, 09 января 1998, 05 декабря 1998, 21 ноября 1997, 07 ноября 1997, 24 октября 1997, 03 октября 1997","03.10.1997, 24.10.1997, 07.11.1997, 21.11.1997, 09.01.1998, 13.02.1998, 27.02.1998, 13.03.1998, 03.04.1998, 24.04.1998, 22.05.1998, 12.06.1998, 03.07.1998, 24.07.1998, 14.08.1998, 04.09.1998, 18.09.1998, 02.10.1998, 25.10.1998, 27.11.1998, 05.12.1998, 29.12.1998, 19.01.1999, 22.02.1999, 31.03.1999, 19.04.1999, 08.05.1999, 08.06.1999, 20.07.1999, 03.09.1999, 28.09.1999, 22.10.1999, 20.11.1999, 30.12.1999, 25.04.2000, 16.06.2000, 09.08.2000, 18.08.2000, 13.09.2000, 03.10.2000, 19.11.2000, 12.01.2001, 10.04.2001",03.10.1997,10.04.2001,"Optron #01, Optron #02, Optron #03, Optron #04, Optron #05, Optron #06, Optron #07, Optron #08, Optron #09, Optron #10, Optron #11, Optron #12, Optron #13, Optron #14, Optron #15, Optron #16, Optron #17, Optron #18, Optron #19, Optron #20, Optron #21, Optron #22, Optron #23, Optron #24, Optron #25, Optron #26, Optron #27, Optron #28, Optron #29, Optron #30, Optron #31, Optron #32, Optron #33, Optron #34, Optron #35, Optron #36, Optron #37, Optron #38, Optron #39, Optron #40, Optron #41, Optron #42, Optron #43",https://zxpress.ru/issue.php?id=149,https://zxpress.ru/d.php?id=149
Orion,ZX Spectrum,Беларусь,Belarus,Жлобин,Zhlobin,Russian,,,,,,https://zxpress.ru/issue.php?id=150,https://zxpress.ru/d.php?id=150
Orphan,ZX Spectrum,Россия,Russia,Екатеринбург,Ekaterinburg,Russian,13 июня 2000,13.06.2000,13.06.2000,13.06.2000,Orphan #01,https://zxpress.ru/issue.php?id=151,https://zxpress.ru/d.php?id=151
Ostrov,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,15 февраля 2000,15.02.2000,15.02.2000,15.02.2000,Ostrov #11,https://zxpress.ru/issue.php?id=152,https://zxpress.ru/d.php?id=152
Out Side,ZX Spectrum,Украина,Ukraine,Запорожье,Zaporozhye,Russian,,,,,,https://zxpress.ru/issue.php?id=153,https://zxpress.ru/d.php?id=153
Outlet,ZX Spectrum,,,,,,"01 января 1987, 07 января 1987","01.01.1987, 07.01.1987",01.01.1987,07.01.1987,"Outlet #004, Outlet #1-3",https://zxpress.ru/issue.php?id=314,https://zxpress.ru/d.php?id=314
Overlog,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,17 марта 1999,17.03.1999,17.03.1999,17.03.1999,"Overlog #01, Overlog #02, Overlog #03, Overlog #04",https://zxpress.ru/issue.php?id=154,https://zxpress.ru/d.php?id=154
Paradox,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,05 августа 1997,05.08.1997,05.08.1997,05.08.1997,Paradox #00 (orig.),https://zxpress.ru/issue.php?id=155,https://zxpress.ru/d.php?id=155
Pioneer,ZX Spectrum,Россия,Russia,Череповец,Cherepovets,Russian,"31 декабря 1995, 27 мая 1996, 24 марта 1996","31.12.1995, 24.03.1996, 27.05.1996",31.12.1995,27.05.1996,"Pioneer #01, Pioneer #02, Pioneer #03",https://zxpress.ru/issue.php?id=156,https://zxpress.ru/d.php?id=156
Platinum,ZX Spectrum,Россия,Russia,Томск,Tomsk,Russian,"08 ноября 1996, 08 августа 1996","08.08.1996, 08.11.1996",08.08.1996,08.11.1996,"Platinum #01, Platinum #02",https://zxpress.ru/issue.php?id=157,https://zxpress.ru/d.php?id=157
Playboy,ZX Spectrum,Украина,Ukraine,Запорожье,Zaporozhye,Russian,,,,,,https://zxpress.ru/issue.php?id=158,https://zxpress.ru/d.php?id=158
Plutonium,ZX Spectrum,Россия,Russia,Екатеринбург,Ekaterinburg,Russian,"30 декабря 1999, 20 августа 2001, 30 июня 2001, 01 ноября 1999, 09 октября 1998, 14 сентября 1998","14.09.1998, 09.10.1998, 01.11.1999, 30.12.1999, 30.06.2001, 20.08.2001",14.09.1998,20.08.2001,"Plutonium #01, Plutonium #02, Plutonium #03, Plutonium #04, Plutonium #05, Plutonium #06, Plutonium #07, Plutonium #08, Plutonium #09, Plutonium #10, Plutonium #10.5, Plutonium #11, Plutonium #12, Plutonium #13, Plutonium #14, Plutonium #15, Plutonium #16, Plutonium #17, Plutonium #18, Plutonium #19, Plutonium #2000",https://zxpress.ru/issue.php?id=159,https://zxpress.ru/d.php?id=159
Point,ZX Spectrum,,,,,,,,,,Point #01,https://zxpress.ru/issue.php?id=160,https://zxpress.ru/d.php?id=160
Pointovka Report,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,,,,,,https://zxpress.ru/issue.php?id=334,https://zxpress.ru/d.php?id=334
Polesse,ZX Spectrum,Беларусь,Belarus,Гомель,Gomel,Russian,"30 марта 1999, 31 марта 2001, 28 февраля 2001, 31 мая 2000, 24 февраля 2000, 30 декабря 1999, 29 декабря 1999, 17 октября 1999, 04 октября 1999, 29 сентября 1999, 04 сентября 1999, 14 июля 1999, 19 июня 1999, 25 мая 1999, 19 мая 1999, 31 марта 1999, 16 апреля 1999, 06 марта 1999, 05 февраля 1999, 14 января 1999, 29 декабря 1998","29.12.1998, 14.01.1999, 05.02.1999, 06.03.1999, 30.03.1999, 31.03.1999, 16.04.1999, 19.05.1999, 25.05.1999, 19.06.1999, 14.07.1999, 04.09.1999, 29.09.1999, 04.10.1999, 17.10.1999, 29.12.1999, 30.12.1999, 24.02.2000, 31.05.2000, 28.02.2001, 31.03.2001",29.12.1998,31.03.2001,"Polesse #00, Polesse #01, Polesse #02, Polesse #03, Polesse #04, Polesse #05, Polesse #06, Polesse #07, Polesse #08, Polesse #09, Polesse #10, Polesse #11, Polesse #12, Polesse #13, Polesse #14, Polesse #15, Polesse #16, Polesse #17, Polesse #18, Polesse #19, Polesse #4.5",https://zxpress.ru/issue.php?id=161,https://zxpress.ru/d.php?id=161
Polnoch,ZX Spectrum,Латвия,Latvia,Рига,Riga,,14 августа 1998,14.08.1998,14.08.1998,14.08.1998,Polnoch #01,https://zxpress.ru/issue.php?id=162,https://zxpress.ru/d.php?id=162
Power,ZX Spectrum,Россия,Russia,Томск,Tomsk,Russian,"27 октября 1996, 13 октября 1996, 06 октября 1996, 29 сентября 1996, 22 сентября 1996","22.09.1996, 29.09.1996, 06.10.1996, 13.10.1996, 27.10.1996",22.09.1996,27.10.1996,"Power #01, Power #02, Power #03, Power #04, Power #05",https://zxpress.ru/issue.php?id=163,https://zxpress.ru/d.php?id=163
Prikoly,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,"25 февраля 1996, 26 февраля 1996, 26 февраля 1996","25.02.1996, 26.02.1996, 26.02.1996",25.02.1996,26.02.1996,"Prikoly #02, Prikoly #03, Prikoly #04",https://zxpress.ru/issue.php?id=317,https://zxpress.ru/d.php?id=317
Profi Club,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,18 сентября 1996,18.09.1996,18.09.1996,18.09.1996,Profi Club #02,https://zxpress.ru/issue.php?id=164,https://zxpress.ru/d.php?id=164
Promised Land,ZX Spectrum,Украина,Ukraine,Черкассы,Cherkasy,Russian,"28 февраля 2003, 14 декабря 2002, 25 августа 2002, 31 декабря 2000","31.12.2000, 25.08.2002, 14.12.2002, 28.02.2003",31.12.2000,28.02.2003,"Promised Land #01, Promised Land #02, Promised Land #03, Promised Land #04",https://zxpress.ru/issue.php?id=165,https://zxpress.ru/d.php?id=165
Proton,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,"01 октября 1998, 08 сентября 1998, 14 августа 1998, 07 августа 1998, 31 июля 1998, 24 июля 1998, 17 июля 1998, 09 июля 1998, 02 июля 1998, 24 июня 1998, 18 июня 1998, 11 июня 1998, 04 мая 1998, 27 мая 1998, 20 мая 1998, 13 мая 1998, 06 мая 1998, 01 мая 1998, 23 апреля 1998, 15 апреля 1998, 07 апреля 1998, 01 апреля 1998, 23 марта 1998, 16 марта 1998, 10 марта 1998, 03 марта 1998, 23 февраля 1998, 17 февраля 1998, 10 февраля 1998, 03 февраля 1998, 27 января 1998, 19 января 1998, 14 января 1998, 06 января 1998, 30 декабря 1997, 23 декабря 1997, 16 декабря 1997, 09 декабря 1997, 24 ноября 1997, 24 ноября 1997, 17 ноября 1997, 10 ноября 1997, 03 ноября 1997, 27 октября 1997, 20 октября 1997, 12 октября 1997, 05 октября 1997, 27 сентября 1997","27.09.1997, 05.10.1997, 12.10.1997, 20.10.1997, 27.10.1997, 03.11.1997, 10.11.1997, 17.11.1997, 24.11.1997, 24.11.1997, 09.12.1997, 16.12.1997, 23.12.1997, 30.12.1997, 06.01.1998, 14.01.1998, 19.01.1998, 27.01.1998, 03.02.1998, 10.02.1998, 17.02.1998, 23.02.1998, 03.03.1998, 10.03.1998, 16.03.1998, 23.03.1998, 01.04.1998, 07.04.1998, 15.04.1998, 23.04.1998, 01.05.1998, 04.05.1998, 06.05.1998, 13.05.1998, 20.05.1998, 27.05.1998, 11.06.1998, 18.06.1998, 24.06.1998, 02.07.1998, 09.07.1998, 17.07.1998, 24.07.1998, 31.07.1998, 07.08.1998, 14.08.1998, 08.09.1998, 01.10.1998",27.09.1997,01.10.1998,"Proton #01, Proton #02, Proton #03, Proton #04, Proton #05, Proton #06, Proton #07, Proton #08, Proton #09, Proton #10, Proton #11, Proton #12, Proton #13, Proton #14, Proton #15, Proton #16, Proton #17, Proton #18, Proton #19, Proton #20, Proton #21, Proton #22, Proton #23, Proton #24, Proton #25, Proton #26, Proton #27, Proton #28, Proton #29, Proton #30, Proton #31, Proton #32, Proton #33, Proton #34, Proton #35, Proton #36, Proton #37, Proton #38, Proton #39, Proton #40, Proton #41, Proton #42, Proton #43, Proton #44, Proton #45, Proton #46, Proton #47, Proton #48",https://zxpress.ru/issue.php?id=166,https://zxpress.ru/d.php?id=166
Psychoz,ZX Spectrum,Россия,Russia,Челябинск,Chelyabinsk,Russian,"31 декабря 2002, 26 ноября 2002, 26 сентября 1999, 06 сентября 1999, 11 августа 1999","11.08.1999, 06.09.1999, 26.09.1999, 26.11.2002, 31.12.2002",11.08.1999,31.12.2002,"Psychoz #01, Psychoz #02, Psychoz #03, Psychoz #04, Psychoz #05, Psychoz #06, Psychoz #07, Psychoz #08, Psychoz #09, Psychoz #10, Psychoz #11, Psychoz #12, Psychoz #12/12, Psychoz #13, Psychoz #14, Psychoz #15, Psychoz #16, Psychoz #17, Psychoz #18",https://zxpress.ru/issue.php?id=167,https://zxpress.ru/d.php?id=167
Public Spirit,ZX Spectrum,Россия,Russia,Таганрог,Taganrog,Russian,17 мая 1997,17.05.1997,17.05.1997,17.05.1997,Public Spirit #01,https://zxpress.ru/issue.php?id=168,https://zxpress.ru/d.php?id=168
Punk,ZX Spectrum,,,,,,,,,,Punk #02,https://zxpress.ru/issue.php?id=169,https://zxpress.ru/d.php?id=169
Read Me,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,"31 декабря 1996, 31 декабря 1996","31.12.1996, 31.12.1996",31.12.1996,31.12.1996,"Read Me #01, Read Me #02",https://zxpress.ru/issue.php?id=170,https://zxpress.ru/d.php?id=170
Realtime,ZX Spectrum,Россия,Russia,Ульяновск,Ulyanovsk,Russian,"29 февраля 1996, 13 января 1996","13.01.1996, 29.02.1996",13.01.1996,29.02.1996,"Realtime #01, Realtime #02",https://zxpress.ru/issue.php?id=171,https://zxpress.ru/d.php?id=171
Red Press,ZX Spectrum,Россия,Russia,Йошкар-Ола,Yoshkar-Ola,Russian,29 августа 2001,29.08.2001,29.08.2001,29.08.2001,Red Press #01,https://zxpress.ru/issue.php?id=321,https://zxpress.ru/d.php?id=321
Reflex,ZX Spectrum,Латвия,Latvia,Рига,Riga,,03 октября 1997,03.10.1997,03.10.1997,03.10.1997,Reflex #01,https://zxpress.ru/issue.php?id=172,https://zxpress.ru/d.php?id=172
Review,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,31 октября 1997,31.10.1997,31.10.1997,31.10.1997,Review #01,https://zxpress.ru/issue.php?id=173,https://zxpress.ru/d.php?id=173
Revival,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,"20 октября 1997, 02 августа 1997, 06 июля 1997, 14 июня 1997","14.06.1997, 06.07.1997, 02.08.1997, 20.10.1997",14.06.1997,20.10.1997,"Revival #01, Revival #02, Revival #03, Revival #04",https://zxpress.ru/issue.php?id=174,https://zxpress.ru/d.php?id=174
RIP,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"10 марта 2001, 24 февраля 2001, 01 января 2001, 07 января 2001, 05 ноября 2000, 12 сентября 1998, 22 августа 1998, 09 августа 1998, 24 января 1998, 10 января 1998, 20 декабря 1997, 13 декабря 1997, 06 декабря 1997, 29 ноября 1997, 23 ноября 1997","23.11.1997, 29.11.1997, 06.12.1997, 13.12.1997, 20.12.1997, 10.01.1998, 24.01.1998, 09.08.1998, 22.08.1998, 12.09.1998, 05.11.2000, 01.01.2001, 07.01.2001, 24.02.2001, 10.03.2001",23.11.1997,10.03.2001,"RIP #01, RIP #02, RIP #03, RIP #04, RIP #05, RIP #06, RIP #07, RIP #08, RIP #09, RIP #10, RIP #11, RIP #12, RIP #13, RIP #14, RIP #15",https://zxpress.ru/issue.php?id=175,https://zxpress.ru/d.php?id=175
RST,ZX Spectrum,Россия,Russia,Нефтекамск,Neftekamsk,Russian,"17 августа 2002, 25 июня 1998","25.06.1998, 17.08.2002",25.06.1998,17.08.2002,"RST #01, RST #02, RST #04",https://zxpress.ru/issue.php?id=176,https://zxpress.ru/d.php?id=176
Rumorz,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,,,,,Rumorz #01,https://zxpress.ru/issue.php?id=177,https://zxpress.ru/d.php?id=177
RUSH,ZX Spectrum,Украина,Ukraine,Чернигов,Chernihiv,Russian,"30 ноября 1999, 29 мая 1999","29.05.1999, 30.11.1999",29.05.1999,30.11.1999,"RUSH #01, RUSH #02",https://zxpress.ru/issue.php?id=178,https://zxpress.ru/d.php?id=178
Sapog,ZX Spectrum,Россия,Russia,Краснодар,Krasnodar,Russian,,,,,Sapog #01,https://zxpress.ru/issue.php?id=316,https://zxpress.ru/d.php?id=316
Scene News,ZX Spectrum,Россия,Russia,Челябинск,Chelyabinsk,Russian,23 ноября 2000,23.11.2000,23.11.2000,23.11.2000,Scene News #01,https://zxpress.ru/issue.php?id=180,https://zxpress.ru/d.php?id=180
Scene+,ZX Spectrum,Австрия,Austria,Венна,Venna,,,,,,,https://zxpress.ru/issue.php?id=315,https://zxpress.ru/d.php?id=315
Scenergy,ZX Spectrum,Россия,Russia,Великий Новгород,Velikiy Novgorod,Russian,"31 декабря 1999, 31 мая 1999","31.05.1999, 31.12.1999",31.05.1999,31.12.1999,"Scenergy #01, Scenergy #02",https://zxpress.ru/issue.php?id=181,https://zxpress.ru/d.php?id=181
Scream,ZX Spectrum,Россия,Russia,Глазов,Glazov,Russian,"26 августа 2011, 30 сентября 2004, 31 января 2003, 29 января 2002, 31 мая 2001","31.05.2001, 29.01.2002, 31.01.2003, 30.09.2004, 26.08.2011",31.05.2001,26.08.2011,"Scream #01, Scream #02, Scream #03, Scream #04, Scream #11",https://zxpress.ru/issue.php?id=182,https://zxpress.ru/d.php?id=182
Screamergy,ZX Spectrum,,,,,,"01 марта 2003, 01 февраля 2003, 01 октября 2002, 01 сентября 2002","01.09.2002, 01.10.2002, 01.02.2003, 01.03.2003",01.09.2002,01.03.2003,"Screamergy #00, Screamergy #01, Screamergy #02, Screamergy #03",https://zxpress.ru/issue.php?id=326,https://zxpress.ru/d.php?id=326
Scroller,ZX Spectrum,Россия,Russia,Ижевск,Izhevsk,Russian,,,,,"Scroller #01, Scroller #02",https://zxpress.ru/issue.php?id=183,https://zxpress.ru/d.php?id=183
Setevoy Sokol,ZX Spectrum,Россия,Russia,Красноярск,Krasnoyarsk,Russian,,,,,,https://zxpress.ru/issue.php?id=184,https://zxpress.ru/d.php?id=184
Shock,ZX Spectrum,Латвия,Latvia,Рига,Riga,,01 января 1998,01.01.1998,01.01.1998,01.01.1998,Shock #01,https://zxpress.ru/issue.php?id=185,https://zxpress.ru/d.php?id=185
Shocker,ZX Spectrum,Украина,Ukraine,Запорожье,Zaporozhye,Russian,20 января 1998,20.01.1998,20.01.1998,20.01.1998,Shocker #01,https://zxpress.ru/issue.php?id=186,https://zxpress.ru/d.php?id=186
Shupashkar,ZX Spectrum,Россия,Russia,Чебоксары,Cheboksary,Russian,09 октября 1999,09.10.1999,09.10.1999,09.10.1999,Shupashkar #02,https://zxpress.ru/issue.php?id=187,https://zxpress.ru/d.php?id=187
SibNews,ZX Spectrum,Россия,Russia,Новосибирск,Novosibirsk,Russian,"01 января 2018, 28 декабря 2017, 31 октября 2017, 17 сентября 2017, 25 июля 2017, 12 июня 2017, 04 июня 2017, 27 мая 2017","27.05.2017, 04.06.2017, 12.06.2017, 25.07.2017, 17.09.2017, 31.10.2017, 28.12.2017, 01.01.2018",27.05.2017,01.01.2018,"SibNews #01, SibNews #02, SibNews #03, SibNews #04, SibNews #05, SibNews #06, SibNews #07, SibNews #08",https://zxpress.ru/issue.php?id=339,https://zxpress.ru/d.php?id=339
Sinc Re-Stared,ZX Spectrum,Россия,Russia,Ульяновск,Ulyanovsk,Russian,28 февраля 2006,28.02.2006,28.02.2006,28.02.2006,"Sinc Re-Stared #01, Sinc Re-Stared #02, Sinc Re-Stared #03",https://zxpress.ru/issue.php?id=188,https://zxpress.ru/d.php?id=188
Sinclair Classic,ZX Spectrum,,,,,,,,,,,https://zxpress.ru/issue.php?id=313,https://zxpress.ru/d.php?id=313
Sinclair Club,ZX Spectrum,Россия,Russia,Воронеж,Voronezh,Russian,"31 декабря 2001, 25 мая 2001, 19 июня 2000, 09 марта 2000, 09 декабря 1999","09.12.1999, 09.03.2000, 19.06.2000, 25.05.2001, 31.12.2001",09.12.1999,31.12.2001,"Sinclair Club #01, Sinclair Club #02, Sinclair Club #03, Sinclair Club #04, Sinclair Club #05",https://zxpress.ru/issue.php?id=189,https://zxpress.ru/d.php?id=189
Sinclair News,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,,,,,,https://zxpress.ru/issue.php?id=190,https://zxpress.ru/d.php?id=190
Sinclair Town,ZX Spectrum,Россия,Russia,Чебоксары,Cheboksary,Russian,"31 декабря 1994, 31 марта 1995","31.12.1994, 31.03.1995",31.12.1994,31.03.1995,"Sinclair Town #01, Sinclair Town #02",https://zxpress.ru/issue.php?id=191,https://zxpress.ru/d.php?id=191
Skimer,ZX Spectrum,Россия,Russia,Северодвинск,Severodvinsk,Russian,"30 сентября 2000, 31 июля 2000","31.07.2000, 30.09.2000",31.07.2000,30.09.2000,"Skimer #01, Skimer #02",https://zxpress.ru/issue.php?id=192,https://zxpress.ru/d.php?id=192
Sky Net,ZX Spectrum,Украина,Ukraine,Луганск,Luhansk,Russian,"08 октября 1996, 04 октября 1996, 22 сентября 1996, 29 августа 1996, 22 августа 1996","22.08.1996, 29.08.1996, 22.09.1996, 04.10.1996, 08.10.1996",22.08.1996,08.10.1996,"Sky Net #01, Sky Net #02, Sky Net #03, Sky Net #04, Sky Net #05",https://zxpress.ru/issue.php?id=193,https://zxpress.ru/d.php?id=193
Smeh,ZX Spectrum,Россия,Russia,Москва,Moscow,Russian,28 мая 1997,28.05.1997,28.05.1997,28.05.1997,Smeh #01,https://zxpress.ru/issue.php?id=194,https://zxpress.ru/d.php?id=194
Sorrow News,ZX Spectrum,Беларусь,Belarus,Минск,Minsk,Russian,"30 апреля 1998, 30 апреля 1998, 31 марта 1998, 31 марта 1998, 28 февраля 1998","28.02.1998, 31.03.1998, 31.03.1998, 30.04.1998, 30.04.1998",28.02.1998,30.04.1998,"Sorrow News #01, Sorrow News #02, Sorrow News #03, Sorrow News #04, Sorrow News #05",https://zxpress.ru/issue.php?id=195,https://zxpress.ru/d.php?id=195
SOSG,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,"15 декабря 1999, 07 декабря 1999, 17 ноября 1999, 12 ноября 1999, 25 октября 1999, 20 октября 1999","20.10.1999, 25.10.1999, 12.11.1999, 17.11.1999, 07.12.1999, 15.12.1999",20.10.1999,15.12.1999,"SOSG #01, SOSG #02, SOSG #03, SOSG #04, SOSG #05, SOSG #06",https://zxpress.ru/issue.php?id=196,https://zxpress.ru/d.php?id=196
SPb ZX Week,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,"23 февраля 1998, 20 февраля 1998","20.02.1998, 23.02.1998",20.02.1998,23.02.1998,"SPb ZX Week #01, SPb ZX Week #02",https://zxpress.ru/issue.php?id=197,https://zxpress.ru/d.php?id=197
SPbZXNet-Pointovka,ZX Spectrum,Россия,Russia,Санкт-Петербург,Saint Petersburg,Russian,14 июля 2002,14.07.2002,14.07.2002,14.07.2002,SPbZXNet-Pointovka #01,https://zxpress.ru/issue.php?id=198,https://zxpress.ru/d.php?id=198
